date,value
2003-1,-0.5
2003-3,0.1
2003-4,0.2
2003-2,-0.2
2003-5,0.3
2003-7,0.3
2003-8,0.6
2003-9,0.5
2003-10,0.9
2003-11,0.6
2003-12,0.5
2004-1,1.2
2004-4,1.4
2004-3,0.9
2004-2,1.1
2002-5,0.5
2002-4,0.3
2002-1,0.4
2005-2,1.6
2005-1,1.5
2005-9,2.5
2005-8,2
2005-7,2.1
2005-6,2.1
2005-5,2.3
2005-4,2.1
2005-3,1.9
2005-10,2.7
2006-1,3.2
